Business Name,Business Address,Latitude,Longitude
"Embarc","475 Santa Clara Ave, Alameda, CA 94501",37.7682,-122.2893
"Fuzzy Caterpillar Preschool","1510 Encinal Ave, Alameda, CA 94501",37.7628,-122.2525
"Golden Needle Tailoring","1903 Encinal Ave, Alameda, CA 94501",37.7625,-122.2465
"A-Town Productions","909 Marina Village Pkwy. Ste 357, Alameda, CA 94501",37.7894,-122.2722
"Alameda Elks Lodge #1015","2255 Santa Clara Ave, Alameda, CA 94501",37.7686,-122.2638
"1701 Auto Care","1701 Buena Vista Ave, Alameda, CA 94501",37.7693,-122.2548
"Alameda Municpal Power","2000 Grand St, Alameda, CA 94501",37.7752,-122.2495
"A.T. Weber Plumbing","1100 Lincoln Ave, Alameda, CA 94501",37.7702,-122.2545
"A1 Market","1420 Encinal Ave, Alameda, CA 94501",37.7627,-122.2538
"Alameda Bicycle","1522 Park St, Alameda, CA 94501",37.7635,-122.2428
"Alameda Cards and Comics","1515 Webster St, Alameda, CA 94501",37.7712,-122.2765
"Alameda Post","1516 Oak St., Suite 203, Alameda, CA 94501",37.7742,-122.2752
"Almanac Beer Co.","651 W Tower Ave, Alameda, CA 94501",37.7832,-122.3065
"BAMP","2350 Saratoga St Unit 250, Alameda, CA 94501",37.7785,-122.2882
"Alameda Theatre & Cineplex","2317 Central Ave, Alameda, CA 94501",37.7642,-122.2412
"Beaker's Records","918 Central Ave Unit A, Alameda, CA 94501",37.7644,-122.2582
"Fireside Lounge","1453 Webster St, Alameda, CA 94501",37.7714,-122.2768
"Forbidden Island","1304 Lincoln Ave, Alameda, CA 94501",37.7701,-122.2515
"High Scores Arcade","1414 Park St, Alameda, CA 94501",37.7638,-122.2432
"Highwire Coffee Roasters","1300 Park St, Alameda, CA 94501",37.7642,-122.2435
"Island Savoy","1200 Lincoln Ave, Alameda, CA 94501",37.7702,-122.2528
"Lazybird Coffee","930 Central Ave, Alameda, CA 94501",37.7644,-122.2578
"Ozzy's Music Academy","1323 Central Ave, Alameda, CA 94501",37.7643,-122.2512
"Norman Sanchez Archiecture","1151 Harbor Bay Pkwy # 206C, Alameda, CA 94502",37.7382,-122.2518
"Park Station","1200 Park St, Alameda, CA 94501",37.7645,-122.2438
"Red Tie Printing","741 Buena Vista Ave, Alameda, CA 94501",37.7698,-122.2668
"Rhythmix Cultural Works","2513 Blanding Ave, Alameda, CA 94501",37.7722,-122.2878
"Rotary Club","1406 Morton Avenue, Alameda, CA 94501",37.7658,-122.2552
"Ruby's Tumbling","1102 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2542
"Salon 1500","1500 Encinal Ave, Alameda, CA 94501",37.7628,-122.2528
"Santoros Italian Market & Deli","475 Santa Clara Ave, Alameda, CA 94501",37.7682,-122.2893
"Team Schuler Real Estate","1414 Park Ave, Alameda, CA 94501",37.7638,-122.2432
"The Benton","1403 Encinal Ave, Alameda, CA 94501",37.7628,-122.2542
"The Experience Share","1600 Sherman St, Alameda, CA 94501",37.7695,-122.2485
"The Gunderman Group","2437 Santa Clara Ave, Alameda, CA 94501",37.7685,-122.2612
"The Local","1333 Park St, Alameda, CA 94501",37.7640,-122.2434
"Trabocco Kitchen & Cocktails","2213 South Shore Center, Alameda, CA 94501",37.7452,-122.2548
"Tucker's Super Creamed Ice Cream","1349 Park St, Alameda, CA 94501",37.7639,-122.2433
"Village Kids Club","1102 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2542
"Westside Joes","1000 Central Ave, Alameda, CA 94501",37.7644,-122.2568
"1400 Bar & Grill","1400 Webster St, Alameda, CA 94501",37.7715,-122.2770
"A & T Bookkeeping & Tax Services","1336 Weber St, Alameda, CA 94501",37.7708,-122.2775
"A & T House Cleaning","647 Haight Ave, Alameda, CA 94501",37.7732,-122.2625
"A B C Preschool","1525 Bay St, Alameda, CA 94501",37.7682,-122.2798
"Admiral Maltings","651 W Tower Ave, Alameda, CA 94501",37.7832,-122.3065
"Alameda Bagels & Donuts","1300 Park St, Alameda, CA 94501",37.7642,-122.2435
"Alameda Floral Design","1908 Encinal Ave, Alameda, CA 94501",37.7625,-122.2462
"Alameda Golf Works","1710 Lincoln Ave, Alameda, CA 94501",37.7698,-122.2468
"Alameda Museum","2329 Central Ave, Alameda, CA 94501",37.7641,-122.2408
"Asena Restaurant","2500 Santa Clara Ave, Alameda, CA 94501",37.7684,-122.2605
"Bead Inspirations","1544 Park St, Alameda, CA 94501",37.7634,-122.2427
"Beadissimo","1318 Park St, Alameda, CA 94501",37.7641,-122.2434
"Blue Dot Cafe","1910 Encinal Ave, Alameda, CA 94501",37.7625,-122.2461
"Books Inc.","1344 Park St, Alameda, CA 94501",37.7640,-122.2433
"Café Jolie","1500 Webster St, Alameda, CA 94501",37.7713,-122.2766
"Chestnut Encinal Market","1202 Chestnut St, Alameda, CA 94501",37.7622,-122.2555
"Craft Chocolate","1118 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2540
"Croll's Pizza","1454 Webster St, Alameda, CA 94501",37.7714,-122.2768
"Dan's Fresh Produce","2300 Central Ave, Alameda, CA 94501",37.7642,-122.2415
"Doodlebug","1234 Park St, Alameda, CA 94501",37.7644,-122.2437
"Dragon Rouge","2337 Blanding Ave, Alameda, CA 94501",37.7724,-122.2895
"East End Pizza","1650 Park St, Alameda, CA 94501",37.7632,-122.2425
"El Caballo Wraps","1108 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2541
"Farmstead Cheeses and Wines","1650 Park St, Alameda, CA 94501",37.7632,-122.2425
"Frank Logan Barbershop","928 Central Ave #A, Alameda, CA 94501",37.7644,-122.2579
"Gold Coast Coffee","1340 Park St, Alameda, CA 94501",37.7640,-122.2433
"Gold Coast Real Estate","1300 Encinal Ave, Alameda, CA 94501",37.7629,-122.2552
"Jay's Coffee and Treats","1414 Encinal Ave, Alameda, CA 94501",37.7627,-122.2539
"Jim's Coffee Shop","1333 Park St, Alameda, CA 94501",37.7640,-122.2434
"Juan's Barbershop","1201a Lincoln Ave, Alameda, CA 94501",37.7702,-122.2527
"Julie's Coffee Shop","1223 Park St, Alameda, CA 94501",37.7644,-122.2437
"Marti's Place","1905 1/2 Encinal Ave, Alameda, CA 94501",37.7625,-122.2464
"McGee's Bar & Grill","1640 Park St, Alameda, CA 94501",37.7632,-122.2425
"Mosley's Cafe","2099 Grand St, Alameda, CA 94501",37.7751,-122.2478
"Neptune Beach Brewing Co.","1300 Park St, Alameda, CA 94501",37.7642,-122.2435
"Neptune's Net Seafood","1900 Webster St, Alameda, CA 94501",37.7708,-122.2758
"Ole's Waffle Shop","1507 Park St, Alameda, CA 94501",37.7635,-122.2429
"Pacific Pinball Museum","1510 Webster St, Alameda, CA 94501",37.7712,-122.2765
"Park Social","1222 Park St, Alameda, CA 94501",37.7644,-122.2437
"Parkway Auto Repair","2100 Encinal Ave, Alameda, CA 94501",37.7624,-122.2452
"Penumbra","One Penumbra Place, Alameda, CA 94502",37.7385,-122.2515
"Preferred Properties","1914 Encinal Ave, Alameda, CA 94501",37.7625,-122.2461
"Scolari's Kitchen","1303 Park St, Alameda, CA 94501",37.7641,-122.2435
"Semifreddi's Bakery","2715 Pacific Ave, Alameda, CA 94501",37.7798,-122.2685
"Speisekammer","2424 Lincoln Ave, Alameda, CA 94501",37.7695,-122.2425
"Star Market","1336 Park St, Alameda, CA 94501",37.7640,-122.2434
"Sunclean Carpet Care","2021 San Antonio Ave, Alameda, CA 94501",37.7658,-122.2418
"The Beanery","1650 Park St, Alameda, CA 94501",37.7632,-122.2425
"The Star on Park","1400 Park St, Alameda, CA 94501",37.7638,-122.2432
"The Thrifty Kitty","1509 Webster St, Alameda, CA 94501",37.7712,-122.2765
"Toy Safari","1410 Park St, Alameda, CA 94501",37.7638,-122.2432
"Troy Greek Cuisine","2320 Central Ave, Alameda, CA 94501",37.7642,-122.2412
"Tutu School Alameda","1419 Park St Unit H, Alameda, CA 94501",37.7638,-122.2431
"Twirl","1424 Park St, Alameda, CA 94501",37.7638,-122.2431
"Twist","1906 Encinal Ave, Alameda, CA 94501",37.7625,-122.2463
"Whisk Cake Creations","1216 Lincoln Ave, Alameda, CA 94501",37.7702,-122.2526
"Whiz Kids","1335 Park St, Alameda, CA 94501",37.7640,-122.2434
"Kat's Meow","1519 Park St, Alameda, CA 94501",37.7635,-122.2428
"Phoenix Coworking","2315 Lincoln Ave Unit 2, Alameda, CA 94501",37.7696,-122.2448
"Digifli","1516 Oak St #203, Alameda, CA 94501",37.7742,-122.2752
"Three Weeks Barbershop","1913 BROADWAY SUITE A, Alameda, CA 94501",37.7985,-122.2752
"Village Voyagers","1011 Grand Street, Alameda, CA 94501",37.7674,-122.2594